cluster,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
0,0.00892325931998674,0.002594460895857375,0.006397240506052879,0.003003655074373407,0.004398791459322571,0.01308982974434768,0.002345370755733775,0.03520201073941274,0.004220687495049296,0.023971275713969554,0.01869732920291128,0.0016887425814412662,0.023481168872112664,0.02849896304174464,0.003399620876078913
1,0.028189240003521982,0.0011468424852835027,0.12775439074879985,0.003721987470592373,0.051178372766034035,0.0352144137768583,0.0011585082648440156,0.01094866899029743,0.0020340086601139387,0.018309873194569677,0.03679041651660182,0.0007178377332970306,0.01581864942927028,0.011451910916673141,0.0016268742072685484
2,0.0017097955979194458,0.054369781754494945,0.0009341849895382747,0.0013477443452839808,0.0002748826848835365,0.004009666077828549,0.009309850207031775,0.002972294087059109,0.0013871667080199552,0.0015652667977876092,0.00423696414175403,0.24267359749785747,0.001319131174939708,0.0052214856265887346,0.01745434165309361
3,0.001159124157973647,0.06749446307354003,0.001271219313680344,0.0011176401898546637,0.00038003001236673,0.006756482578742861,0.22784127200631313,0.0036182187818842087,0.0012312903995189293,0.0013000970441609794,0.004667425005434723,0.006275222559396322,0.0016092850294262553,0.004524816414281907,0.01582333191291269
4,0.018353620882786206,0.0012351338547091112,0.024795838784651147,0.3859180379339457,0.020385583432450383,0.008031753202463526,0.0006518198225674692,0.015465908923661158,0.0013320105769005638,0.017124892270087438,0.010077973856287774,0.00028030841538999025,0.04469130471797363,0.006774400325568503,0.001132181026388326
5,0.006472550460698637,0.0016302128855824325,0.013272923621346576,0.002169631722016503,0.0007445876524855467,0.01275443653185859,0.0024888043878839032,0.02143029920096215,0.21803110266841333,0.0190353227073138,0.014476882498392301,0.0013747039849832312,0.027798188363666782,0.009110267895801997,0.0031387191205421525
6,0.0006497960766239209,0.10102261556283824,0.0010323563568671863,0.0007564201128208515,0.0004110102317313696,0.004992950364178448,0.010962302810112241,0.0024756936615042864,0.0011190585667139323,0.0011018269875200891,0.004598356896212253,0.010688766971911167,0.0007343688240455736,0.004697639031470718,0.2362190693657326
