umap_x,umap_y
9.55552,2.992129
11.02772,7.635157
7.149552,-0.06465798
3.0105124,-1.1757575
8.62319,6.5296655
22.854643,2.8298569
4.2923417,6.434162
10.943594,7.331625
10.201315,7.726337
4.8539867,5.4761257
4.684763,3.5100098
5.178365,-1.3143547
7.079141,-0.6285969
8.009691,3.027356
4.366493,19.489597
18.354752,5.1748686
6.0938687,-1.0903289
5.6148562,-1.4585736
8.533941,4.2436333
9.090141,2.1027117
7.4608216,10.637382
8.766987,4.114745
6.3496523,10.165138
23.290195,2.3432794
7.8778996,0.25023952
4.8532925,3.4593563
9.935139,2.8478143
4.5827084,4.9452
8.137971,1.0173215
10.18921,8.120484
11.3139715,9.267613
7.559676,-7.8125944
5.6681476,7.5171328
8.194706,1.1612468
9.018296,5.28949
6.3123674,2.8678005
4.344346,19.408268
8.078521,-7.890548
0.17913052,-3.8276258
10.96334,9.63694
10.696293,9.235045
5.6145315,7.271508
11.182917,8.322583
2.8073974,-1.1365627
-6.0201955,5.178965
6.438411,3.1301847
6.6063786,-0.110220976
13.437921,3.0685592
4.444929,7.9406934
8.752021,3.2502685
6.178554,20.225471
7.9260426,-8.738271
7.584319,0.037494395
5.596081,7.185183
8.613643,3.0486243
21.846455,1.126193
7.1093965,10.708316
6.9257364,-0.42992917
10.633137,9.196906
5.0367928,-1.2727596
6.4595914,4.378245
6.835756,-0.029355234
8.496692,-8.082524
6.881638,6.737521
8.498467,3.6298685
4.6047063,-1.27304
6.8843575,5.2901716
7.55231,3.4383476
6.405681,9.980677
17.688896,3.9322577
5.6855016,9.167071
9.621566,9.763293
6.4183187,19.605345
7.306198,11.483283
8.260324,6.413894
3.8419468,3.9086952
5.1058607,-1.3676727
5.4722695,-1.1517559
21.922436,1.1870809
4.2691298,6.8820753
11.093599,8.737731
4.006906,3.8260276
6.873931,-0.47373366
10.273435,8.221684
6.3559318,12.13246
8.174025,-8.10063
4.2890825,8.292047
8.004213,10.035417
10.489429,8.962336
6.323654,20.205929
8.164943,10.594848
6.3118863,10.672027
7.1165156,6.2731366
11.194506,9.070222
7.91888,2.4478478
4.7637534,3.619757
7.330127,7.6246314
2.494071,4.952949
-6.1420927,5.519496
-5.511478,4.912181
5.6022854,-1.2424463
8.503247,1.2648988
7.1234336,7.6108522
7.223569,10.790506
4.8101606,-1.1146666
-0.055046882,-4.106427
9.060081,7.9189787
7.1094723,-0.6096413
7.844056,0.32713982
7.398072,-6.6206875
2.8568513,-1.1561612
3.555172,-1.3111216
7.957198,-7.2937675
10.723818,9.245839
4.941171,7.419139
7.512911,0.058791097
18.435997,5.267062
10.737432,7.2029533
8.417072,10.267726
5.6510777,7.779401
10.758821,3.4962206
6.1080046,20.082964
18.012281,4.0545077
7.2591023,-7.953339
10.973638,7.760543
8.507499,1.2374824
7.472115,10.166738
11.574059,9.192017
6.3791056,12.157903
4.999302,4.3489184
4.6986413,6.85958
3.6958802,-1.3088586
8.8984375,5.0977025
6.987363,5.9999413
7.020631,2.6853025
4.208429,8.439177
5.174054,-1.3860312
11.904837,7.191868
5.580786,-1.1305349
10.331047,9.643362
7.0959334,7.5460706
7.3794427,0.5791055
9.333464,3.1433344
9.484241,9.951983
7.553522,11.044277
7.8282137,6.159708
8.46905,10.442736
17.734226,3.9875166
7.6356297,12.298348
9.159901,-8.53496
7.898147,10.975361
6.3993797,19.556564
8.305122,2.6081057
7.1936803,-7.8903503
5.434039,4.1797495
4.0317955,6.921143
5.5298934,7.8620334
-5.4871035,5.2925973
10.263012,3.3751767
7.266909,2.318158
17.189327,4.0625644
7.1478176,11.07214
5.205792,3.3323615
10.881214,8.292242
8.784523,4.851384
6.498932,11.441662
3.8655746,4.2846365
7.22223,-7.377121
7.917483,11.573481
6.580336,-8.484494
6.0411167,5.6254606
6.222369,-0.9979982
5.6474357,7.668068
5.439834,-0.68035096
9.82557,3.825607
7.7771225,0.046288196
9.330444,2.5193524
8.55043,4.808069
7.6062098,0.44109964
6.0262237,20.350668
6.135496,3.5173147
7.9488063,3.9828868
13.719697,2.991027
5.1662917,-1.3161632
8.338901,8.075485
4.362331,19.531105
17.679714,3.962573
22.326122,2.0972586
11.585077,8.035141
9.59989,3.488792
7.109385,6.572295
9.2752495,-8.617495
5.6544867,9.094312
6.2580276,3.678376
9.8828945,9.824202
8.559678,-8.148617
11.734916,3.438357
8.465295,3.8657749
4.0054703,8.027313
6.144408,19.456362
6.758833,5.8160286
5.832938,5.759211
6.33172,10.72034
6.9109535,3.161678
